Description,Total_Revenue
"PAPER CRAFT , LITTLE BIRDIE",168469.6
REGENCY CAKESTAND 3 TIER,142264.75
WHITE HANGING HEART T-LIGHT HOLDER,100392.1
JUMBO BAG RED RETROSPOT,85040.54
MEDIUM CERAMIC TOP STORAGE JAR,81416.73
POSTAGE,77803.96
PARTY BUNTING,68785.23
ASSORTED COLOUR BIRD ORNAMENT,56413.03
Manual,53419.93
RABBIT NIGHT LIGHT,51251.24
CHILLI LIGHTS,46265.11
PAPER CHAIN KIT 50'S CHRISTMAS ,42584.13
PICNIC BASKET WICKER 60 PIECES,39619.5
BLACK RECORD COVER FRAME,39045.8
JUMBO BAG PINK POLKADOT,37254.36
DOORMAT KEEP CALM AND COME IN,35880.85
SPOTTY BUNTING,35509.55
WOOD BLACK BOARD ANT WHITE FINISH,34414.71
SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3
JAM MAKING SET WITH JARS,32616.22
JUMBO BAG STRAWBERRY,30569.32
VICTORIAN GLASS HANGING T-LIGHT,28735.36
HEART OF WICKER LARGE,28479.65
HEART OF WICKER SMALL,28217.09
LUNCH BAG RED RETROSPOT,27868.8
SET OF 3 REGENCY CAKE TINS,26566.28
JUMBO BAG APPLES,26426.3
ALARM CLOCK BAKELIKE RED ,25868.95
PAPER CHAIN KIT VINTAGE CHRISTMAS,25639.77
DOORMAT RED RETROSPOT,25364.85
GIN + TONIC DIET METAL SIGN,24944.88
ROSES REGENCY TEACUP AND SAUCER ,24827.25
SPACEBOY LUNCH BOX ,24673.14
HOT WATER BOTTLE KEEP CALM,24302.55
JUMBO BAG ALPHABET,24160.44
NATURAL SLATE HEART CHALKBOARD ,24089.17
PLEASE ONE PERSON METAL SIGN,23865.82
RED  HARMONICA IN BOX ,23756.43
JUMBO  BAG BAROQUE BLACK WHITE,23630.58
DOORMAT UNION FLAG,23622.54
CHOCOLATE HOT WATER BOTTLE,23584.64
POPCORN HOLDER,23417.51
REGENCY TEAPOT ROSES ,23033.52
BAKING SET 9 PIECE RETROSPOT ,22953.1
DOORMAT NEW ENGLAND,22783.8
CREAM HEART CARD HOLDER,22687.92
VINTAGE UNION JACK MEMOBOARD,22679.28
RED HANGING HEART T-LIGHT HOLDER,22595.19
SET OF TEA COFFEE SUGAR TINS PANTRY,22109.08
ROUND SNACK BOXES SET OF4 WOODLAND ,22101.77
JUMBO STORAGE BAG SUKI,21784.84
DOORMAT FAIRY CAKE,21171.79
JAM MAKING SET PRINTED,21147.55
VINTAGE UNION JACK BUNTING,20945.16
JUMBO BAG VINTAGE LEAF,20921.55
ALARM CLOCK BAKELIKE GREEN,20839.15
RECIPE BOX PANTRY YELLOW DESIGN,20838.62
EDWARDIAN PARASOL NATURAL,20672.91
JUMBO BAG VINTAGE DOILY ,20641.4
SET OF 6 SPICE TINS PANTRY DESIGN,20482.6
CREAM SWEETHEART MINI CHEST,20448.17
RETROSPOT TEA SET CERAMIC 11 PC ,20426.23
COOK WITH WINE METAL SIGN ,20232.13
JUMBO SHOPPER VINTAGE RED PAISLEY,20116.38
DOLLY GIRL LUNCH BOX,20104.09
SCOTTIE DOG HOT WATER BOTTLE,20049.9
WOODEN PICTURE FRAME WHITE FINISH,19945.45
DOORMAT HEARTS,19924.66
RED TOADSTOOL LED NIGHT LIGHT,19831.71
LUNCH BOX I LOVE LONDON,19316.17
DOORMAT FANCY FONT HOME SWEET HOME,19149.07
JUMBO BAG OWLS,19047.02
PAPER BUNTING RETROSPOT,18785.99
ALARM CLOCK BAKELIKE PINK,18539.09
JUMBO BAG PINK VINTAGE PAISLEY,18427.9
LUNCH BAG APPLE DESIGN,18220.5
LUNCH BAG  BLACK SKULL.,17950.3
RED RETROSPOT CAKE STAND,17918.8
GREEN REGENCY TEACUP AND SAUCER,17735.54
JUMBO BAG 50'S CHRISTMAS ,17636.04
WOODEN FRAME ANTIQUE WHITE ,17583.77
ROUND SNACK BOXES SET OF 4 FRUITS ,17569.59
ROTATING SILVER ANGELS T-LIGHT HLDR,17554.27
HOMEMADE JAM SCENTED CANDLES,17504.2
GUMBALL COAT RACK,17488.55
FAIRY CAKE FLANNEL ASSORTED COLOUR,17291.57
GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2
LUNCH BAG CARS BLUE,17214.53
JUMBO BAG DOILEY PATTERNS,16737.1
COLOUR GLASS. STAR T-LIGHT HOLDER,16566.34
